200,221,11,100
200,221,11,101
189,26,255,11
200,99,138,100
200,99,138,103
200,99,138,94
200,204,162,55
191,253,71,250
177,69,12,241
177,52,232,7
186,225,194,29
200,196,54,22
191,8,122,51
177,38,32,74
200,146,85,56
189,1,14,146
179,185,62,3
177,184,131,54
186,194,224,82
179,191,92,178
187,61,9,42
200,146,119,150
200,148,191,197
189,114,40,242
200,201,182,238
186,237,202,26
179,185,16,242
179,189,172,16
177,131,114,86
200,232,168,212
179,185,12,210
201,22,227,11
177,19,205,182
201,20,156,6
201,54,248,13
177,69,23,253
192,146,229,22
201,47,62,85
187,85,84,178
201,71,226,147
179,191,86,162
200,170,208,26
200,150,83,115
201,87,244,17
187,61,22,86
187,32,7,196
201,28,69,242
187,111,34,79
187,61,22,91
200,162,5,5
200,169,10,154
200,149,10,163
200,248,178,54
187,6,84,178
177,43,56,139
200,223,129,162
200,196,51,210
187,33,160,33
200,169,254,19
200,162,5,3
200,187,95,39
186,235,54,131
200,162,5,4
186,235,54,138
200,175,4,220
186,250,37,92
177,43,35,247
186,216,63,25
201,54,249,77
187,19,150,222
177,85,233,163
186,215,126,207
201,54,249,53
200,158,7,223
177,85,233,140
201,54,248,93
201,54,249,73
187,35,125,199
201,54,248,169
201,54,249,41
201,54,249,65
186,219,242,26
189,52,92,250
179,111,229,178
179,184,190,10
200,195,65,194
177,87,14,51
177,66,203,10
177,139,202,38
177,8,15,65
189,112,246,228
187,75,165,250
200,185,113,202
177,129,161,51
189,38,1,74
200,222,80,124
186,215,182,158
200,150,112,58
186,251,47,22
177,135,204,163
177,85,235,243
177,85,235,183
189,125,73,13
187,0,169,46
177,43,122,186
201,57,38,98
186,226,68,233
177,135,142,10
177,20,178,12
186,251,180,15
189,45,192,39
189,90,241,10
186,235,54,1
189,2,156,5
177,38,160,18
177,135,142,74
131,161,45,1
177,200,192,66
200,172,90,4
177,54,143,29
200,178,216,67
177,43,249,132
191,240,88,1
177,43,76,244
200,252,235,20
187,120,48,47
200,241,195,134
177,222,141,3
201,20,120,49
177,43,249,163
201,54,248,17
186,216,62,57
201,46,43,96
200,222,80,122
189,91,128,77
201,20,188,26
187,85,145,154
189,22,145,74
177,53,4,49
189,22,145,71
189,22,145,76
177,53,4,11
189,39,19,105
200,199,217,218
177,136,168,9
200,150,113,147
177,136,168,5
200,179,97,194
200,162,5,6
177,52,144,3
179,107,49,128
191,32,22,138
201,44,177,131
201,39,214,142
177,69,96,187
189,72,55,229
200,231,135,1
189,127,3,194
201,87,219,232
186,238,82,242
177,206,30,145
177,139,199,234
189,89,164,98
186,228,83,10
186,209,91,39
131,161,72,41
189,8,108,154
189,17,213,233
189,17,213,225
179,111,208,60
179,191,207,4
177,159,160,18
189,125,117,106
177,221,116,9
187,60,128,69
200,150,79,85
187,121,113,161
189,42,239,34
201,63,221,226
187,115,169,30
177,39,164,33
177,22,112,205
179,99,247,239
200,167,191,114
200,196,57,42
189,124,138,68
186,233,95,84
186,201,10,186
200,243,224,51
177,105,191,73
187,60,172,29
200,99,138,104
177,12,230,174
189,108,63,5
200,99,138,13
189,126,63,85
177,135,228,229
179,184,131,244
186,201,109,14
200,150,116,10
201,64,113,214
189,17,26,242
200,198,114,227
189,17,26,248
189,75,110,173
186,200,2,58
177,220,145,99
186,216,63,97
200,169,8,1
200,222,35,134
200,249,35,80
179,97,85,29
177,54,136,25
186,215,128,142
189,89,165,114
200,217,5,171
187,62,226,69
187,62,226,65
187,62,226,177
177,200,192,210
177,54,142,57
177,11,92,58
200,196,51,122
187,17,52,34
189,112,51,161
200,97,6,146
200,174,105,3
200,205,44,154
187,1,175,86
177,129,11,5
177,75,17,177
200,209,145,234
187,44,1,140
200,195,180,226
177,105,209,38
177,22,112,173
201,23,68,26
200,129,182,14
177,128,209,14
200,195,181,162
177,207,208,123
177,207,208,9
177,22,112,169
187,12,219,106
189,52,29,122
201,17,28,103
187,12,218,226
177,189,210,113
177,53,5,210
187,1,175,81
177,135,144,186
189,113,75,5
189,58,102,145
177,85,16,18
200,222,51,208
177,15,67,65
186,215,247,157
179,184,161,34
200,195,132,52
177,54,16,249
200,192,254,106
201,30,200,141
201,73,200,3
201,33,131,38
177,43,59,241
177,43,59,242
177,135,72,140
189,3,176,171
201,45,193,131
201,63,81,10
189,127,3,196
189,127,3,195
189,127,3,197
177,73,85,54
177,73,85,90
177,4,200,238
189,50,4,114
177,43,101,72
187,8,48,70
189,4,130,159
200,223,233,180
189,31,189,188
201,86,70,27
177,101,132,234
201,86,70,30
189,91,91,12
200,195,142,35
187,44,1,102
200,162,142,66
177,184,131,180
200,246,26,18
201,71,229,198
177,204,84,54
177,99,199,48
200,195,158,213
200,142,160,54
201,54,248,241
177,87,3,18
177,136,168,39
177,159,232,52
177,159,232,50
177,39,152,227
177,38,148,10
177,36,152,171
177,53,4,220
189,90,254,71
187,75,155,116
189,111,254,56
200,217,185,20
187,60,160,47
201,140,212,1
189,74,21,240
177,47,128,2
200,159,205,11
201,39,203,2
179,127,175,242
201,131,180,1
189,108,24,106
177,159,232,53
200,195,65,226
187,44,160,222
177,19,217,206
177,189,237,124
200,247,169,6
187,108,38,170
187,62,226,33
189,22,227,194
186,251,226,253
177,130,60,86
186,251,226,251
189,22,148,34
187,62,226,12
187,63,74,202
187,62,225,98
177,130,60,40
201,73,231,74
179,185,60,124
186,216,61,61
189,22,145,75
186,195,17,227
200,252,16,136
177,23,58,244
201,76,162,156
186,201,109,11
201,76,162,157
191,240,38,21
201,55,162,198
189,113,132,101
177,43,225,226
177,46,142,63
200,169,167,2
187,53,11,106
177,125,214,245
201,47,170,99
187,76,86,182
186,226,68,17
187,11,131,56
187,35,129,28
187,62,217,82
177,0,32,117
189,8,57,170
177,206,29,230
189,55,193,173
200,216,230,194
179,184,32,186
186,216,62,1
186,216,62,85
186,216,62,49
186,195,17,226
186,216,62,21
177,126,81,193
186,216,62,29
186,216,62,53
200,169,88,1
186,236,78,114
186,216,62,5
177,75,82,30
186,215,78,156
187,120,64,42
186,216,62,77
186,216,62,17
186,216,62,73
191,6,63,69
186,216,62,33
200,170,133,81
186,216,62,69
179,107,39,202
200,252,132,142
187,120,64,39
200,195,143,194
200,175,61,177
179,185,68,22
189,56,100,42
200,143,34,43
179,107,39,201
201,64,242,59
201,48,242,193
186,195,183,2
177,126,81,19
200,151,66,3
201,54,244,106
201,33,24,216
177,67,81,134
177,135,174,43
177,135,174,36
177,159,173,226
186,235,54,73
200,214,191,226
187,84,141,43
179,97,9,110
189,76,209,130
201,22,74,195
186,215,114,218
189,14,50,211
177,73,109,53
189,115,138,8
177,93,152,1
200,162,136,138
189,124,138,65
177,36,152,248
200,201,191,91
179,185,88,86
200,150,110,194
187,120,208,172
201,3,226,8
187,120,208,201
187,120,208,200
187,120,209,14
189,17,45,226
200,161,143,52
186,193,207,158
177,135,120,227
200,230,138,133
177,19,245,199
179,97,8,46
177,159,120,242
200,222,51,209
179,97,8,94
177,19,245,214
186,235,187,238
187,49,52,75
189,127,10,83
189,127,11,66
177,92,0,90
177,92,0,138
177,92,0,162
177,92,1,35
177,92,1,38
177,92,1,154
177,92,2,130
177,92,17,6
177,92,17,150
177,92,17,246
177,92,18,6
177,92,19,182
177,220,129,196
177,220,129,197
177,220,130,115
177,220,147,50
177,220,162,36
177,220,162,162
177,220,163,150
187,95,98,82
187,95,98,155
200,150,65,166
200,150,66,42
200,150,68,126
200,150,72,2
200,150,72,115
200,150,73,238
200,150,80,92
200,150,81,234
200,150,82,154
200,150,84,26
200,150,85,66
200,150,85,67
200,150,85,68
200,150,85,69
200,150,85,70
200,150,85,221
200,195,128,82
200,195,132,50
200,195,132,51
200,195,132,210
200,195,136,198
177,92,20,130
200,195,144,10
200,195,144,194
200,195,147,186
200,195,147,187
200,195,147,188
200,195,148,172
200,195,153,163
200,195,154,122
200,195,170,42
200,195,170,43
200,195,170,44
200,195,170,84
200,195,170,170
200,195,170,172
200,195,171,21
200,195,172,58
200,195,172,62
200,195,177,242
200,195,178,154
200,195,178,155
200,195,184,108
200,195,185,234
200,195,187,214
189,125,16,125
189,125,16,126
189,125,17,210
189,125,17,217
189,125,17,218
189,125,18,5
189,125,19,198
200,189,221,5
200,189,221,10
200,194,198,75
200,194,198,76
200,194,198,149
201,48,65,146
177,135,162,26
191,242,176,195
200,229,128,21
200,181,14,3
201,40,70,138
131,221,81,1
131,221,81,2
131,221,81,6
131,221,81,10
131,221,81,14
131,221,81,18
131,221,81,22
131,221,81,26
131,221,81,30
